[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

Servering at on  http://127.0.0.1:60039
[GIN] 2024/11/27 - 18:00:59 | 200 |    4.698125ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/27 - 18:00:59 | 200 |    3.330083ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/27 - 18:00:59 | 200 |    4.896458ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/27 - 18:00:59 | 200 |    7.115292ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/27 - 18:00:59 | 200 |    2.923375ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/27 - 18:00:59 | 200 |    4.802916ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/27 - 18:00:59 | 200 |    3.220833ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/27 - 18:00:59 | 200 |    4.209792ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/27 - 18:00:59 | 200 |    6.452958ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/27 - 18:00:59 | 200 |    4.445417ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/27 - 18:00:59 | 200 |      7.8345ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/27 - 18:00:59 | 200 |    8.795375ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/27 - 18:00:59 | 200 |   12.553834ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/27 - 18:01:00 | 200 |    4.272958ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/27 - 18:01:05 | 302 |     230.125µs |       127.0.0.1 | GET      "/"
[GIN] 2024/11/27 - 18:01:05 | 301 |      31.833µs |       127.0.0.1 | GET      "/static/client"
[GIN] 2024/11/27 - 18:01:05 | 200 |    2.798791ms |       127.0.0.1 | GET      "/static/client/"
[GIN] 2024/11/27 - 18:01:05 | 200 |      373.25µs |       127.0.0.1 | GET      "/static/css/bootstrap.css"
[GIN] 2024/11/27 - 18:01:05 | 200 |    1.556917ms |       127.0.0.1 | GET      "/static/js/vue.min.js"
[GIN] 2024/11/27 - 18:01:05 | 200 |     1.21125ms |       127.0.0.1 | GET      "/static/js/axios.min.js"
[GIN] 2024/11/27 - 18:01:05 | 200 |     123.125µs |       127.0.0.1 | GET      "/static/js/client.js"
[GIN] 2024/11/27 - 18:01:05 | 200 |    1.671041ms |       127.0.0.1 | GET      "/static/js/clipboard.min.js"
[GIN] 2024/11/27 - 18:01:05 | 200 |    2.222792ms |       127.0.0.1 | GET      "/static/js/element-ui.js"
[GIN] 2024/11/27 - 18:01:05 | 200 |    4.894167ms |       127.0.0.1 | GET      "/static/css/element.min.css"
